MLS#,CPR,Photos,Original Price,Region,Sold Price,Sold Ratio,Orig. Ratio,Beds,Living Sq Ft,Land Sq Ft,Year,Days,Condition,Tax,Total Fees,Land.1,Building,Assessed Total,Assessed Ratio,Zoning,Flood Zone,View,Pool,Easements,Stories,SoldDate,ListDate,priceInc,priceDec,largeCPR,aboveOrig,fullBaths,halfBaths,rem5Yrs,Parking2,level,Basement,splitLevel
202126770,0,14,799000,Metro,825000,1.0325,0.9685,2,883,1800,2002,15,6.0,164,0,546000,159200,705200,1.133,12 - A-2 Medium Density Apartme,Zone AO,1,0,0,2.0,2021-12-28,2021-11-01,0,0,0,0,1,1,0,2,1,0,0
202128502,0,7,875000,DiamondHd,940000,1.0743,0.9309,4,1232,18730,1959,10,4.5,81,0,340500,62900,403400,2.1691,52 - AG-2 General Agricultural,Zone X,1,0,1,1.0,2021-12-28,2021-11-06,0,0,0,0,1,1,0,3,0,0,0
202129166,0,25,899000,DiamondHd,990000,1.1012,0.9081,2,635,2700,1938,5,5.0,192,0,588000,169200,757200,1.1873,05 - R-5 Residential District,Zone X,1,0,0,1.0,2021-12-28,2021-11-17,0,0,0,0,1,0,0,2,1,0,0
202126722,0,23,950000,Metro,1030500,1.0847,0.9219,3,1028,5679,1951,9,5.0,199,0,673500,9300,682800,1.3913,04 - R-7.5 Residential District,Zone X,1,0,1,1.0,2021-12-27,2021-10-26,0,0,0,0,1,0,0,3,1,1,0
202126141,0,25,1288000,HawaiiKai,1250000,0.9705,1.0304,4,2169,5935,1974,25,5.0,231,3,722300,196000,918300,1.4026,05 - R-5 Residential District,Zone D,1,0,0,1.0,2021-12-27,2021-10-22,0,0,0,1,2,0,0,2,1,0,0
202126709,0,25,1538000,Metro,1475000,0.959,1.0427,5,2481,5017,1960,14,5.0,234,0,682100,119100,801200,1.9196,05 - R-5 Residential District,Zone X,1,0,1,2.0,2021-12-27,2021-10-28,0,0,0,1,3,1,0,2,0,0,0
202128437,0,25,835000,Metro,920000,1.1018,0.9076,5,2080,5294,1954,7,4.0,277,0,617600,323100,940700,0.8876,05 - R-5 Residential District,Zone X,0,0,1,1.0,2021-12-23,2021-11-11,0,0,0,0,4,0,0,2,1,0,0
202128511,0,18,899000,HawaiiKai,1000888,1.1133,0.8982,3,1092,6024,1970,3,3.0,246,0,756900,89500,846400,1.0621,05 - R-5 Residential District,Zone D,1,0,1,1.0,2021-12-23,2021-11-10,0,0,0,0,1,1,0,2,1,0,0
202126596,1,21,1168000,DiamondHd,1150000,0.9846,1.0157,5,2467,2578,2017,36,4.0,490,0,518600,613100,1131700,1.0321,05 - R-5 Residential District,Zone X,0,0,1,2.0,2021-12-23,2021-10-25,0,0,1,1,4,0,0,2,0,0,0
202119521,0,12,1190000,DiamondHd,1250000,0.9615,0.952,6,1897,5000,1967,19,4.0,273,0,741000,218400,959400,1.355,05 - R-5 Residential District,Zone X,1,0,1,1.0,2021-12-23,2021-07-29,1,0,0,0,3,0,1,3,1,0,1
202128684,0,25,885000,DiamondHd,988000,1.1164,0.8957,4,2141,6474,1954,10,5.0,199,0,647600,135400,783000,1.1303,05 - R-5 Residential District,Zone X,1,0,1,2.0,2021-12-22,2021-11-17,0,0,0,0,3,0,0,1,0,0,0
202126031,0,25,975000,Metro,925000,0.9487,1.0541,3,916,9795,1954,23,4.0,239,0,889900,27400,917300,1.0629,05 - R-5 Residential District,Zone X,1,0,1,1.0,2021-12-22,2021-10-18,0,0,0,1,1,0,0,3,1,0,0
202128452,0,16,1109999,Metro,1250000,1.1261,0.888,4,1376,5525,1969,11,4.0,248,0,876700,111900,988600,1.1228,05 - R-5 Residential District,Zone X,1,0,0,1.0,2021-12-22,2021-11-04,0,0,0,0,2,0,0,3,1,0,1
202127295,0,25,1250000,Metro,1500000,1.2,0.8333,2,1421,2281,2015,8,6.0,164,0,439400,262500,701900,1.7809,07 - R-3.5 Residential District,Zone X,1,0,0,2.0,2021-12-22,2021-11-03,0,0,0,0,2,0,0,3,0,0,0
202124571,0,22,1388800,HawaiiKai,1400000,1.0081,0.992,4,1556,5043,1977,19,5.0,335,0,691500,203000,894500,1.5526,05 - R-5 Residential District,Zone D,1,1,0,1.0,2021-12-22,2021-10-22,0,0,0,0,2,0,1,3,1,0,0
202115452,1,25,1500000,DiamondHd,1450000,1.0,1.0345,5,2607,2950,2020,120,6.0,670,0,642000,694600,1336600,1.0848,07 - R-3.5 Residential District,Zone X,1,0,1,2.0,2021-12-22,2021-06-12,0,1,0,1,4,0,0,3,1,0,0
202124556,0,20,1100000,HawaiiKai,999999,0.9524,1.1,3,1380,5016,1980,40,5.0,223,0,557000,206700,763700,1.3749,05 - R-5 Residential District,Zone D,1,0,0,2.0,2021-12-21,2021-09-26,0,1,0,1,2,0,1,3,1,0,0
202120963,0,25,1550000,DiamondHd,1450000,0.9355,1.069,8,2595,8157,1950,69,4.0,291,0,943700,119900,1063600,1.4573,05 - R-5 Residential District,Zone X,1,0,1,3.0,2021-12-21,2021-08-17,0,0,0,1,5,0,1,2,0,1,1
202126088,0,20,899000,DiamondHd,930000,1.0,0.9667,2,698,5185,1948,17,5.0,156,0,535900,0,535900,1.7354,05 - R-5 Residential District,Zone X,1,0,0,1.0,2021-12-20,2021-10-18,1,0,0,0,1,0,1,2,0,0,0
202126193,0,21,965000,Metro,955000,0.9896,1.0105,5,1460,5217,1964,16,6.0,247,0,655000,189000,844000,1.1434,05 - R-5 Residential District,Zone X,0,0,1,2.0,2021-12-20,2021-10-18,0,0,0,1,1,1,0,2,0,0,0
202121618,0,25,1250000,Metro,1097000,1.0018,1.1395,5,2170,6946,1966,36,4.0,235,0,749000,195500,944500,1.1593,05 - R-5 Residential District,Zone X,1,0,0,2.0,2021-12-17,2021-09-09,0,1,0,1,3,0,0,3,0,0,0
202126774,0,23,1100000,DiamondHd,1270000,1.1545,0.8661,2,1306,2925,1999,10,6.0,245,0,681600,364500,1046100,1.0515,07 - R-3.5 Residential District,Zone X,1,0,1,2.0,2021-12-17,2021-10-27,0,0,0,0,2,0,0,2,1,0,0
202127226,0,25,1249999,HawaiiKai,1350000,1.08,0.9259,3,1328,5400,1970,9,5.0,255,0,731200,243500,974700,1.2824,05 - R-5 Residential District,Zone D,1,0,1,1.0,2021-12-17,2021-11-03,0,0,0,0,2,0,0,2,1,0,0
