Land,Open,CPR,Photos,Status,MLS#,Price,Original Price,$ Change,% Change,Region,Neighborhood,Address,City,Zip,Parcel Number,Zone,Section,Plat,Parcel/Lot,CPR,Terms,Sold Price,Sold Date,Sold Ratio,Orig. Ratio,Concessions,Beds,Bath,Living Sq Ft,Average Living,Land Sq Ft,Acres,Average Land,Year,Remodeled,List Date,Days,Condition,Tax,Maint. Fee,Assoc. Fee,Other Fee,Fee Includes,Total Fees,Land,Building,Assessed Total,Assessed Ratio,Elementary,Junior High,High,Zoning,Flood Zone,Seller's Agent,Seller's Office,Buyer's Agent,Buyer's Office,View,Frontage,Pool,Parking,Flooring,Roofing,Roads,Easements,Topography,Stories
FS,,,14,Sold,202126770,799000,799000,0,0,Metro,Pawaa,1738 Waiola Street B,Honolulu,96826,1-2-3-027-024-0000,2,3,27,24,0,None,825000,12/28/2021,1.0325,0.9685,,2,1.1,883,904.8697622,1800,0.04,443.8888889,2002,,11/1/2021,15,Excellent,164,0,0,0,,0,546000,159200,705200,1.133,,,,12 - A-2 Medium Density Apartme,Zone AO,Patrick T Graham,Coldwell Banker Realty,Michelle Zeng,Estates Royal Limited,Garden,,None,"2 Car,Garage,Street","Laminate,W/W Carpet",Asphalt Shingle,"County Rd,Paved Rd",None,Level,Two
FS,,,7,Sold,202128502,875000,875000,0,0,DiamondHd,Palolo,3139 Lai Road ,Honolulu,96816,1-3-4-021-022-0000,3,4,21,22,0,None,940000,12/28/2021,1.0743,0.9309,,4,1.1,1232,710.2272727,18730,0.43,46.7164976,1959,,11/6/2021,10,"Above Average,Average",81,0,0,0,,0,340500,62900,403400,2.1691,Palolo,Kaimuki,Kaimuki,52 - AG-2 General Agricultural,Zone X,Owen T Kashiwamura,Pure Real Estate Inc.,Kim Wong Balisacan,BHGRE Advantage Realty,Mountain,,None,3 Car+,"Ceramic Tile,Hardwood,Vinyl",Composition,"County Rd,Paved Rd,Private Rd","Electric,Other","Down Slope,Level",One
FS,,,25,Sold,202129166,899000,899000,0,0,DiamondHd,Kaimuki,539 Malie Place ,Honolulu,96816,1-3-2-030-031-0000,3,2,30,31,0,None,990000,12/28/2021,1.1012,0.9081,,2,1,635,1415.748031,2700,0.06,332.962963,1938,,11/17/2021,5,Above Average,192,0,0,0,,0,588000,169200,757200,1.1873,,,,05 - R-5 Residential District,Zone X,Michael Yoshino,Locations LLC,Rachel F Alsagoff,Luva LLC,"City,Mountain,Other",,None,2 Car,"Laminate,Other",Asphalt Shingle,"County Rd,Paved Rd",None,Level,One
FS,,,23,Sold,202126722,950000,950000,0,0,Metro,Manoa Area,3044 Lono Place ,Honolulu,96822,1-2-9-057-061-0000,2,9,57,61,0,None,1030500,12/27/2021,1.0847,0.9219,,3,1,1028,924.1245136,5679,0.13,167.2829724,1951,,10/26/2021,9,Above Average,199,0,0,0,,0,673500,9300,682800,1.3913,Noelani,Stevenson,Roosevelt,04 - R-7.5 Residential District,Zone X,Jason Y Nishikawa,Marcus Realty,Catherine T Kim,Coldwell Banker Realty,Mountain,,None,"3 Car+,Carport,Driveway,Street","Other,W/W Carpet",Other,County Rd,Street Widening,"Gentle Slope,Level","Basement,One"
FS,,,25,Sold,202126141,1288000,1288000,0,0,HawaiiKai,Kalama Valley,1284 Honokahua Street ,Honolulu,96825,1-3-9-090-075-0000,3,9,90,75,0,None,1250000,12/27/2021,0.9705,1.0304,,4,2,2169,593.8220378,5935,0.14,217.0176917,1974,2006,10/22/2021,25,Above Average,231,0,3,0,,3,722300,196000,918300,1.4026,Kamiloiki,Niu Valley,Kaiser,05 - R-5 Residential District,Zone D,Myron N Kiriu,BHGRE Advantage Realty,Tommy Kim,Coldwell Banker Realty,Mountain,,None,"2 Car,Carport,Driveway,Street","Ceramic Tile,W/W Carpet","Asphalt Shingle,Composition",Paved Rd,None,Level,One
FS,,,25,Sold,202126709,1538000,1538000,0,0,Metro,Pauoa Valley,2594 Kekuanoni Street ,Honolulu,96813,1-2-2-025-081-0000,2,2,25,81,0,None,1475000,12/27/2021,0.959,1.0427,,5,3.1,2481,619.9113261,5017,0.12,306.5577038,1960,2005,10/28/2021,14,Above Average,234,0,0,0,,0,682100,119100,801200,1.9196,Pauoa,Kawananakoa,Roosevelt,05 - R-5 Residential District,Zone X,Bryn W Kaufman,OahuRE.com,Frank Cao,Central Pacific Properties Inc,"City,Mountain,Ocean",,None,"2 Car,Garage",Hardwood,"Asphalt Shingle,Composition","County Rd,Paved Rd",Sewer,Hilly,Two
FS,,,25,Sold,202128437,835000,835000,0,0,Metro,Aliamanu,3838 Likini Street ,Honolulu,96818,1-1-1-021-099-0000,1,1,21,99,0,None,920000,12/23/2021,1.1018,0.9076,,5,4,2080,401.4423077,5294,0.12,157.7257272,1954,1974,11/11/2021,7,Average,277,0,0,0,,0,617600,323100,940700,0.8876,,,,05 - R-5 Residential District,Zone X,Tyler Hinderer,Redfin Corporation,Joyce Yu Guan,Coldwell Banker Realty,None,,None,2 Car,Hardwood,Asphalt Shingle,County Rd,Other,Level,One
FS,,,18,Sold,202128511,899000,899000,0,0,HawaiiKai,Koko Head Terrace,7256 Mokuone Street ,Honolulu,96825,1-3-9-055-133-0000,3,9,55,133,0,None,1000888,12/23/2021,1.1133,0.8982,,3,1.1,1092,823.2600733,6024,0.14,149.2363878,1970,,11/10/2021,3,Fair,246,0,0,0,,0,756900,89500,846400,1.0621,,,,05 - R-5 Residential District,Zone D,Candice L Aoki,Dream Home Realty Hawaii LLC,Daniel T Sherman,AMG Realty Inc,"Mountain,Other",Other,None,"Carport,Driveway,Street","Vinyl,W/W Carpet",Other,Paved Rd,Other,Level,One
FS,,Yes,21,Sold,202126596,1168000,1168000,0,0,DiamondHd,Palolo,2117 Palolo Avenue E,Honolulu,96816,1-3-4-006-002-0005,3,4,6,2,5,None,1150000,12/23/2021,0.9846,1.0157,,5,4,2467,473.4495338,2578,0.06,453.064391,2017,,10/25/2021,36,Average,490,0,0,0,,0,518600,613100,1131700,1.0321,Palolo,Jarrett,Kaimuki,05 - R-5 Residential District,Zone X,Kaihong Xie,"Five Star Realty, Inc.",Anthony James Cox,"Sentry Residential, LLC",None,,None,"2 Car,Driveway,Garage,Street","Ceramic Tile,Laminate",Asphalt Shingle,"Paved Rd,Private Rd","Driveway,Electric,Sewer","Down Slope,Level",Two
FS,,,12,Sold,202119521,1300000,1190000,110000,0.0924,DiamondHd,Wilhelmina,3846 Noeau Street ,Honolulu,96816,1-3-3-014-031-0000,3,3,14,31,0,None,1250000,12/23/2021,0.9615,0.952,,6,3,1897,685.2925672,5000,0.11,260,1967,2017,7/29/2021,19,Average,273,0,0,0,,0,741000,218400,959400,1.355,Waialae,Kaimuki,Kalani,05 - R-5 Residential District,Zone X,Judith M Sykes,"Sykes & Sykes Properties, Inc.",Joseph CK Hou,"INPAC Realty, Inc.",Mountain,,None,"3 Car+,Carport,Driveway","Ceramic Tile,Hardwood,Laminate,Vinyl",Asphalt Shingle,County Rd,Sewer,Level,"One,Split Level"
